Pct Ivo Count for horry
 PCT   IVO    PCTTOT     155     152 : RUNNINGTOTAL
5118415 0199     131
5118429 0115      99
5118590 0200     102
5118592 0220     167
5118614 0216     133
5118620 0141     100
5118695 0181      27
5118735 0121     133
5118842 0214     146
5118862 0130     124
5118974 0219      90
5119018 0206     122
5119070 0133     131
5119109 0174     129
5119110 0165     162
5119235 0202     105
5119263 0106     136
5119264 0125      99
5119570 0109     161
5119581 0197     123
5119617 0136     135
5119818 0143     107
5119820 0110     106
5119886 0155      90
5119904 0208      38
5119972 0197      91
5120031 0180     108
5120128 0121     135
5120152 0142     121
5120228 0177     115
5120426 0113     149
5120566 0202     107
5120575 0158     151
5120616 0191     137
5120741 0105     122
5120771 0202     130
5120785 0191     148
5120821 0165     123
5120871 0148     170
5120963 0114     159
5120996 0145     103
5121026 0125     103
5121038 0193     143
5121108 0202     116
5121159 0194     112
5121192 0175     133
5121208 0208      97
5121235 0199     104
5121265 0183     108
5121280 0113     126
5121289 0750      53
5121362 0217     127
5121390 0205      68
5121457 0116      98
5121479 0215     128
5121502 0166      55
5121522 0193     111
5121540 0174     116
5121592 0202     112
5121605 0208      81
5121612 0190     131
5121658 0184     107
5121680 0178      38
5121725 0133     133
5121777 0139     114
5121802 0165     166
5121820 0168      76
5121822 0109     151
5121995 0204     121
5122005 0172     143
5122107 0179     123
5122114 0127     119
5122195 0108     148
5122200 0194     127
5122355 0103      18
5122386 0182     141
5122417 0163      85
5122468 0114     162
